"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1879830361649410183","Thu Jan 16 09:57:38 +0000 2025","354","Dek, ini nama programnya makan bergizi gratis bukan makan gratis doang. Ini dananya sampai triliyunan dalam lima tahun. Dan program ini bukan buat ngehemat bekel kamu, tujuan awalnya ini buat cegah stunting jadi makanannya harus begizi bukan asal kenyang.","1879830361649410183","","","in","","2","6","161","https://x.com/barengwarga/status/1879830361649410183","1850558971779956736","barengwarga"
"1884521307121049692","Wed Jan 29 08:37:46 +0000 2025","0","soal makan bergizi gratis, semua yang disampaikan kang didi di video ini on point 🙌🏻 https://t.co/OLIjSMlVTI","1884521307121049692","","","in","","0","0","0","https://x.com/jungkalakk/status/1884521307121049692","749259657366032385","jungkalakk"
"1876442636179165184","Tue Jan 07 01:36:01 +0000 2025","11986","Makan bergizi gratis: - makanannya nggak enak
- gizinya kurang
- gratisnya bohong karena didapat dari memeras rakyat 👍🏼","1876442636179165184","","","in","","39","60","3369","https://x.com/denismalhotra/status/1876442636179165184","478829168","denismalhotra"
"1881944491663474816","Wed Jan 22 05:58:26 +0000 2025","301","“Makan Bergizi Gratis: Fondasi untuk Masa Depan Indonesia yang Gemilang” Program Makan Bergizi Gratis yang digagas pemerintah bukan sekadar upaya untuk mengisi perut anak-anak Indonesia. Ini adalah investasi strategis yang dampaknya jauh melampaui meja makan. Dengan memastikan https://t.co/SgCQxN0oC0","1881944491663474816","https://pbs.twimg.com/ext_tw_video_thumb/1881944438714646528/pu/img/O0Z_az6UKn9dmSQB.jpg","","in","","1","343","206","https://x.com/cuitcuap_/status/1881944491663474816","142912893","cuitcuap_"
"1875816397319893406","Sun Jan 05 08:07:34 +0000 2025","278","Mulai Besok, 6 Januari 2025, Program Makan Bergizi Gratis Akan Mulai Dilaksanakan. Maka Demi Keadilan, HNW dari @PKSejahtera Ingatkan Program Makan Bergizi Gratis Itu Juga Untuk Santri Pesantren dan Siswa Madrasah/Sekolah Keagamaan. https://t.co/9zU7cTuAl9","1875816397319893406","","","in","","8","50","72","https://x.com/hnurwahid/status/1875816397319893406","86012022","hnurwahid"
"1884549024172449824","Wed Jan 29 10:27:55 +0000 2025","0","Belakangan lagi ramai dibahas soal pelaksanaan program makan bergizi gratis (MBG). Ahli gizi menyebut, dari enam jenis sajian menu di beberapa daerah, hanya satu yang sudah memenuhi standar Angka Kecukupan Gizi berdasarkan Permenkes nomor 28 tahun 2019. Tapi emang seberapa https://t.co/vMhlxF9mJC","1884549024172449824","https://pbs.twimg.com/media/GidDWXMaMAAA6lu.jpg","","in","","0","0","0","https://x.com/beritaKBR/status/1884549024172449824","124390203","beritaKBR"
"1877142056776217042","Wed Jan 08 23:55:16 +0000 2025","1300","Mukanya kayak testimoni makan bergizi gratis 😭😭😭😭😭","1877142056776217042","","","in","","86","14","453","https://x.com/serusaee/status/1877142056776217042","1016961865178419200","serusaee"
"1877230797670986132","Thu Jan 09 07:34:40 +0000 2025","495","@mohmahfudmd Setelah banyak nya kritikan makan siang gratis langsung ada peraturan ""tidak mencaci makanan"" ini agak lucu, kalau misalnya makanan nya hambar terus kita bilang itu hambar masa di anggap mencaci 🤔😩 https://t.co/GQGwqBXmzV","1877257669230096419","","mohmahfudmd","in","","3","75","48","https://x.com/DS_yantie/status/1877257669230096419","1374686160748830724","DS_yantie"
"1876139544082534481","Mon Jan 06 05:31:38 +0000 2025","899","Tak Ada Susu dalam Menu Makan Bergizi Gratis di Jakarta Hari Ini https://t.co/iTyHjSwWg2","1876139544082534481","","","in","","43","210","248","https://x.com/CNNIndonesia/status/1876139544082534481","17128975","CNNIndonesia"
"1884479896665395222","Wed Jan 29 05:53:13 +0000 2025","0","Makan Bergizi Gratis Menyehatkan Anak Bangsa, Mewujudkan Indonesia Emas 2045 https://t.co/VGfkX4diEI","1884479896665395222","https://pbs.twimg.com/media/GicEeWoaAAAPMv8.jpg","","in","","0","0","0","https://x.com/allegory1318/status/1884479896665395222","1549650487573524481","allegory1318"
